arxiv_id,hf_paper_title,idea_github_url
2603.11273,"Invariant Multi-Metric Proxy for ASR Processing Cost: Combining Duration with Greedy Decode Lower Bound","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Invariant%20Multi-Metric%20Proxy%20for%20ASR%20Processing%20Cost%20Combini.md"
2603.11273,"Online Proxy Calibration for Duration-Aware ASR Scheduling Under Workload Drift","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Online%20Proxy%20Calibration%20for%20Duration-Aware%20ASR%20Scheduling%20U.md"
2603.11273,"Adaptive Urgency-Aware Scheduling for ASR Serving under Workload Drift","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Adaptive%20Urgency-Aware%20Scheduling%20for%20ASR%20Serving%20under%20Work.md"
2606.16827,"NAS-LIR: Neural Architecture Search with Language Invariance Regularization for Cross-Lingual Code Generation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/NAS-LIR%20Neural%20Architecture%20Search%20with%20Language%20Invariance%20.md"
2606.16827,"GAMT-FT: Gradient-Aligned Multi-Task Fine-Tuning for Low-Resource Code Generation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/GAMT-FT%20Gradient-Aligned%20Multi-Task%20Fine-Tuning%20for%20Low-Reso.md"
2606.16827,"CFG-Sparse Attention: Enforcing Structural Inductive Bias for Cross-Lingual Code Generation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/CFG-Sparse%20Attention%20Enforcing%20Structural%20Inductive%20Bias%20for.md"
2606.18021,"Inter-Layer Representation Stability for Self-Supervised Hallucination Detection in Legal Text","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Inter-Layer%20Representation%20Stability%20for%20Self-Supervised%20Hal.md"
2606.18021,"Unsupervised Detection of Logical Hallucinations via Deductive Consistency Probing","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Unsupervised%20Detection%20of%20Logical%20Hallucinations%20via%20Deducti.md"
2606.18021,"FADE: Unsupervised Detection of Hallucinations in Legal LLMs via Sparse Autoencoder Factuality Directions","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/FADE%20Unsupervised%20Detection%20of%20Hallucinations%20in%20Legal%20LLMs%20.md"
2606.19495,"SAC-VG: Scale-Action Consistent Video Generation for Action-Critical Detail Preservation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/SAC-VG%20Scale-Action%20Consistent%20Video%20Generation%20for%20Action-C.md"
2606.19495,"Coupled Alternating Diffusion for Physically Consistent Text-to-Video Generation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Coupled%20Alternating%20Diffusion%20for%20Physically%20Consistent%20Text.md"
2606.19531,"Iterative Action Extraction from Denoising Residuals for Joint Planning and World Simulation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Iterative%20Action%20Extraction%20from%20Denoising%20Residuals%20for%20Joi.md"
2606.19531,"Causal Action-Consistent Latent Dynamics: Enforcing Intervention Structure for Robot Planning","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Causal%20Action-Consistent%20Latent%20Dynamics%20Enforcing%20Intervent.md"
2606.19704,"SIT-DC: Sufficiency-Invariance Testing for Dimension Coverage in Multi-Agent Evaluation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/SIT-DC%20Sufficiency-Invariance%20Testing%20for%20Dimension%20Coverage.md"
2606.19704,"FARA: Counterfactual Consistency Enforcement for Role Fidelity in Multi-Agent LLM Evaluation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/FARA%20Counterfactual%20Consistency%20Enforcement%20for%20Role%20Fidelit.md"
2606.19704,"Counterfactual Intervention Probes for Verifying Persona Adherence in Multi-Agent Evaluation Pipelines","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Counterfactual%20Intervention%20Probes%20for%20Verifying%20Persona%20Adh.md"
2606.20083,"Adversarial Road Topology Augmentation via Differentiable Rendering for Robust Video World Models","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Adversarial%20Road%20Topology%20Augmentation%20via%20Differentiable%20Re.md"
2606.20083,"SelfMV: Self-Supervised 3D Scene Representation for Trajectory-Conditioned Video Prediction","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/SelfMV%20Self-Supervised%203D%20Scene%20Representation%20for%20Trajector.md"
2606.20083,"PhysLat: Physics-Constrained Latent Space for LLM-Driven Trajectory Generation in World Models","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/PhysLat%20Physics-Constrained%20Latent%20Space%20for%20LLM-Driven%20Traj.md"
2606.20515,"Spatial Task Partition Protocol for Scalable LLM Agent Networks","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Spatial%20Task%20Partition%20Protocol%20for%20Scalable%20LLM%20Agent%20Netwo.md"
2606.20515,"Lattice-Constrained Protocol Generation for Multi-Agent Coordination","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Lattice-Constrained%20Protocol%20Generation%20for%20Multi-Agent%20Coor.md"
2606.20515,"RoloConsensus: Distributed Consensus with Emergent Role Allocation via Pairwise Embeddings","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/RoloConsensus%20Distributed%20Consensus%20with%20Emergent%20Role%20Alloc.md"
2606.20517,"CIRM-Based Quality Filtering for Multilingual Synthetic Code Data","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/CIRM-Based%20Quality%20Filtering%20for%20Multilingual%20Synthetic%20Code.md"
2606.20529,"Multi-Tool Consensus Verification for Robust Self-Generated Task Selection","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Multi-Tool%20Consensus%20Verification%20for%20Robust%20Self-Generated%20.md"
2606.20529,"Causal Intervention for Task Generation: Overcoming Tool-Bound Distribution in Language Agents","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Causal%20Intervention%20for%20Task%20Generation%20Overcoming%20Tool-Boun.md"
2606.20545,"Geometric Consistency Check (GCC) for Test-Time Verification of World Model Predictions","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Geometric%20Consistency%20Check%20GCC%20for%20Test-Time%20Verification%20o.md"
2606.20545,"Viewpoint Invariance Score: A Metric for Evaluating Frame-of-Reference Agnostic Spatial Reasoning in VLMs with World Models","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Viewpoint%20Invariance%20Score%20A%20Metric%20for%20Evaluating%20Frame-of-.md"
2606.20545,"Self-Consistency Dropout Check for World Model Rollout Verification","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Self-Consistency%20Dropout%20Check%20for%20World%20Model%20Rollout%20Verif.md"
2606.20563,"ECLIPSE: Epipolar-Consistent Latent Prior for Single-Image Novel View Synthesis","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/ECLIPSE%20Epipolar-Consistent%20Latent%20Prior%20for%20Single-Image%20No.md"
2606.20563,"Joint Implicit Neural Field Diffusion for Globally-Consistent Novel View Synthesis from a Single Image","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/Joint%20Implicit%20Neural%20Field%20Diffusion%20for%20Globally-Consisten.md"
2606.20563,"DynaSynth: Temporally Consistent Novel View Synthesis from a Single Image via 4D Neural Representation","https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-19/DynaSynth%20Temporally%20Consistent%20Novel%20View%20Synthesis%20from%20a%20.md"
