arxiv_id,idea_title,idea_github_url
2606.09967,ABot-Earth 0.5: Generative 3D Earth Model,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/CompoNeRF%20%20Category-Agnostic%20Generative%203D%20Scene%20Synthesis%20via%20Composable%20Proto-Shape%20Implicit%20Field.md
2606.09967,ABot-Earth 0.5: Generative 3D Earth Model,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Pose-Free%20View%20Synthesis%20via%20Relative%20Positional%20Cross-Attention.md
2606.10651,Kwai Keye-VL-2.0 Technical Report,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Gromov-Wasserstein%20Gated%20Mixture-of-Experts%20for%20Multimodal%20Learning%20under%20Missing%20Modalities.md
2606.10651,Kwai Keye-VL-2.0 Technical Report,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Bayesian%20Nonparametric%20Discovery%20of%20Interaction%20Prototypes%20in%20Multimodal%20Mixture-of-Experts.md
2606.10917,Role-Agent: Bootstrapping LLM Agents via Dual-Role Evolution,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Invariance-Based%20Verification%20of%20LLM%20Outputs%20Without%20Ground-Truth%20Oracles.md
2606.10917,Role-Agent: Bootstrapping LLM Agents via Dual-Role Evolution,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/PAC-Filtered%20Posterior%20Sampling%20%20Certifying%20LLM%20Exploration%20with%20Frequentist%20Coverage%20Tests.md
2606.05922,Retrospective Harness Optimization: Improving LLM Agents via,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Deductive%20Self-Consistency%20Training%20%20Enforcing%20Logical%20Closure%20for%20Reliable%20Self-Verification%20in%20Age.md
2606.09730,SearchSwarm: Towards Delegation Intelligence in Agentic LLMs,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Persona%20Inference%20via%20Contraction%20Mapping%20from%20Interaction%20Dynamics.md
2606.09730,SearchSwarm: Towards Delegation Intelligence in Agentic LLMs,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Contextual%20Persona%20Gating%20%20Zero-Shot%20Persona%20Acquisition%20in%20Multi-Agent%20Language%20Models%20from%20Raw%20Con.md
2606.10804,SCAIL-2: Unifying Controlled Character Animation with End-to,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/PhaseFlow%20%20Appearance-Invariant%20Character%20Animation%20via%20Phase-Conditioned%20Diffusion.md
2606.10804,SCAIL-2: Unifying Controlled Character Animation with End-to,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/TempDiff-Motion%20%20Domain-Generalized%20Character%20Animation%20via%20Temporal%20Difference%20Motion%20Encoding.md
2606.10968,Beyond Uniform Token-Level Trust Region in LLM Reinforcement,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/ADA-eval%20%20Online%20Fine-Tuning%20of%20LLM%20Action%20Evaluation%20via%20Lightweight%20Adapters%20with%20Temporal-Differe.md
2606.10968,Beyond Uniform Token-Level Trust Region in LLM Reinforcement,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Learning%20to%20Remember%20for%20Search%20%20RL-Trained%20Memory%20Operations%20in%20Monte%20Carlo%20Tree%20Search%20for%20LLM%20Age.md
2606.11025,Flow-DPPO: Divergence Proximal Policy Optimization for Flow ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Mutual%20Information%20Gain%20as%20Intrinsic%20Reward%20for%20Self-Supervised%20Alignment%20of%20Diffusion%20Models.md
2606.11025,Flow-DPPO: Divergence Proximal Policy Optimization for Flow ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Adaptive%20Self-Consistency%20Regularized%20Policy%20Optimization%20for%20Robust%20RL%20Fine-Tuning%20of%20Diffusion%20Mod.md
2606.07512,MemDreamer: Decoupling Perception and Reasoning for Long Vid,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/STEP-RL%20%20Self-Supervised%20Temporal%20Entailment%20Process%20Rewards%20for%20Long%20Video%20Reasoning.md
2606.07512,MemDreamer: Decoupling Perception and Reasoning for Long Vid,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-10/Event-Causal%20Temporal%20Encoding%20for%20Long%20Video%20Understanding%20via%20Latent%20Dynamics%20Segmentation.md
