arxiv_id,idea_title,idea_github_url
2606.26025,Adaptive Context Selection via Latent Manifold Geometry for In-Context Learning in Robotics,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/Adaptive%20Context%20Selection%20via%20Latent%20Manifold%20Geometry%20for%20.md
2606.26907,Adaptive Context-Aware Denoising: Embedding Context Retrieval into Diffusion via Attention Entropy,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/Adaptive%20Context-Aware%20Denoising%20Embedding%20Context%20Retrieval.md
2606.27377,Adaptive Field Router for On-Policy Generative Distillation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/Adaptive%20Field%20Router%20for%20On-Policy%20Generative%20Distillation.md
2606.14397,Ambiguity-Aware Evaluation: A Multi-Interpretation Framework for LLM Agent Benchmarks,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/Ambiguity-Aware%20Evaluation%20A%20Multi-Interpretation%20Framework%20.md
2606.26217,Bisimulation-Metric World Models for Self-Supervised Latent Planning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/Bisimulation-Metric%20World%20Models%20for%20Self-Supervised%20Latent%20.md
2606.27377,Compositional Flow Fields: Resolving Conflicting Expert Flows via Mixed Velocity Learning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/Compositional%20Flow%20Fields%20Resolving%20Conflicting%20Expert%20Flows.md
2606.26904,Consistency-Driven Decomposition Optimization for Robust Video Understanding,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/Consistency-Driven%20Decomposition%20Optimization%20for%20Robust%20Vid.md
2606.26027,CYCLE-SUP: Self-Supervised SFT via Cycle-Consistent Trajectory Imputation for Tool-Use RL,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/CYCLE-SUP%20Self-Supervised%20SFT%20via%20Cycle-Consistent%20Trajector.md
2606.27313,CyclicDAC: Self-Supervised Cycle-Consistent Alignment of Discrete Visual and Textual Codes from Unpaired Data,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/CyclicDAC%20Self-Supervised%20Cycle-Consistent%20Alignment%20of%20Disc.md
2606.24551,Dynamic Action Synthesis Agent for Domain-Invariant Computer Use,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-26/Dynamic%20Action%20Synthesis%20Agent%20for%20Domain-Invariant%20Computer.md
