arxiv_id,hf_paper_title,idea_github_url
2606.11926,Toward Generalist Autonomous Research via Hypothesis-Tree Re,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Consistency-Driven%20Falsification%20%20Verifying%20LLM%20Implication%20Derivation%20via%20Systematic%20Hypothesis%20Per.md
2606.11926,Toward Generalist Autonomous Research via Hypothesis-Tree Re,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Invariant-Constrained%20Execution%20%20Compositional%20Verification%20for%20LLM-Driven%20Scientific%20Discovery.md
2606.12397,Redesign Mixture-of-Experts Routers with Manifold Power Iter,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/CPA-MoE%20%20Contrastive%20Prototype%20Adaptive%20Mixture%20of%20Experts%20for%20Unsupervised%20Skill%20Discovery.md
2606.12397,Redesign Mixture-of-Experts Routers with Manifold Power Iter,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/ADMM-Router%20%20Differentiable%20Exact%20Optimal%20Routing%20for%20Mixture-of-Experts.md
2606.12344,Claw-SWE-Bench: A Benchmark for Evaluating OpenClaw-style Ag,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/CompCAS%20%20Compositional%20Semantics%20for%20Code%20Hallucination%20and%20Quality%20Attributes%20over%20Abstract%20Syntax.md
2606.12344,Claw-SWE-Bench: A Benchmark for Evaluating OpenClaw-style Ag,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/DynAPI%20%20Joint%20Code%20Generation%20and%20API%20Behavior%20Prediction%20via%20Iterative%20Execution%20Feedback.md
2606.12191,Agentic Environment Engineering for Large Language Models: A,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Profile-Anchor%20Consistency%20Evaluation%20for%20Role-Playing%20Agents.md
2606.09076,Beyond Scalar Rewards by Internalizing Reasoning into Score ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Iterative%20Contractive%20Reward%20Model%20for%20Compositional%20Consistency%20in%20Text-to-Image%20Generation.md
2606.09323,TRL-Bench: Standardizing Cross-Paradigm Representation-Level,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/FIPA%20%20Feature-Identity-Preserving%20Aggregation%20for%20Permutation-Invariant%20Tabular%20Representation%20Learn.md
2606.10728,DeNovoSWE: Scaling Long-Horizon Environments for Generating ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Causal%20Transportability%20of%20Hallucination%20Mitigation%20in%20Code%20Generation%20%20A%20Multiplicative%20Decompositi.md
2606.10728,DeNovoSWE: Scaling Long-Horizon Environments for Generating ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/ADSPEC%20%20Self-Supervised%20Adversarial%20Specification%20Perturbation%20to%20Uncover%20Code%20Generation%20Hallucinat.md
2606.11683,"Reason, Then Re-reason: Cross-view Revisiting Improves Spati",https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Temporal%20Causal%20Relation%20Networks%20for%20Dynamic%20Spatial%20Reasoning%20in%20Video.md
2606.11683,"Reason, Then Re-reason: Cross-view Revisiting Improves Spati",https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Cross-Benchmark%20Consistency%20Training%20for%20Spatial%20and%20Temporal%20Reasoning%20in%20Video.md
2606.12403,World Pilot: Steering Vision-Language-Action Models with Wor,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Implicit%20Depth%20Ordering%20Learning%20for%20Enhanced%203D%20Spatial%20Reasoning%20in%20Vision-Language%20Models.md
2606.12403,World Pilot: Steering Vision-Language-Action Models with Wor,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/Depth-Aware%20Episodic%20Voxel%20Memory%20for%20Occlusion%20Reasoning%20in%20Vision-Language%20Models.md
2606.12403,World Pilot: Steering Vision-Language-Action Models with Wor,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-11/DOPA%20%20Depth-Order-Preserving%20Attention%20for%20Occlusion-Aware%20Counting%20in%20Vision-Language%20Models.md
