arxiv_id,hf_paper_title,idea_github_url
2606.14777,JoyAI-VL-Interaction: Real-Time Vision-Language Interaction ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Causal%20Action%20Embedding%20for%20Zero-Shot%20Robotic%20Manipulation%20v.md
2606.14777,JoyAI-VL-Interaction: Real-Time Vision-Language Interaction ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/CertSim2Real%20Conformal%20Prediction-Based%20Performance%20Guarante.md
2606.14777,JoyAI-VL-Interaction: Real-Time Vision-Language Interaction ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Simplex%20Action%20Representations%20for%20Fast%20and%20Multimodal%20Robot.md
2606.11176,Data Journalist Agent: Transforming Data into Verifiable Mul,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Monotone%20Discourse%20Graph%20Aggregation%20for%20Cross-Paragraph%20Dis.md
2606.17046,Geometric Action Model for Robot Policy Learning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Cross-Ratio%20Geometric%20Consistency%20Network%20for%20Calibration-Ag.md
2606.17046,Geometric Action Model for Robot Policy Learning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Learning%20Geodesic%20Retraction%20onto%20Epipolar%20Invariant%20Manifol.md
2606.16993,DreamX-World 1.0: A General-Purpose Interactive World Model,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Time-Reversible%20Latent%20Dynamics%20for%20Physically%20Plausible%20Vid.md
2606.16993,DreamX-World 1.0: A General-Purpose Interactive World Model,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/HumanWorld%20Personalized%20Video%20Generation%20from%20a%20Single%20Image.md
2606.16993,DreamX-World 1.0: A General-Purpose Interactive World Model,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Temporally-Adaptive%20Perceptual%20Compression%20for%20Detail-Preser.md
2606.14066,FastContext: Training Efficient Repository Explorer for Codi,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/SpecMon%20Detecting%20Unreliable%20Verifier%20Feedback%20via%20Specifica.md
2606.16140,VibeThinker-3B: Exploring the Frontier of Verifiable Reasoni,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/ParaVerify%20Self-Verification%20via%20Paraphrase%20Consistency%20for%20.md
2606.16140,VibeThinker-3B: Exploring the Frontier of Verifiable Reasoni,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Self-Certifying%20Value%20Sequences%20via%20Monotone%20Bellman%20Residua.md
2606.16140,VibeThinker-3B: Exploring the Frontier of Verifiable Reasoni,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/KLEO-MCTS%20KL-Regularized%20Tree%20Search%20with%20Periodic%20Reference.md
2606.16281,Who Should Lead Decoding Now? Tracking Reliable Trajectories,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Adaptive%20Variance-Controlled%20Steering%20and%20Masking%20for%20Masked.md
2606.16281,Who Should Lead Decoding Now? Tracking Reliable Trajectories,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Gradient-Consistent%20Joint%20Adaptation%20of%20Masking%20and%20Steering.md
2606.16281,Who Should Lead Decoding Now? Tracking Reliable Trajectories,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Frequency-Adaptive%20Activation%20Steering%20for%20Masked%20Diffusion%20.md
2606.16295,"VisualClaw: A Real-Time, Personalized Agent for the Physical",https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/CCAM%20Learning%20Canonical%20Coordinate%20Consistency%20for%20Invariant.md
2606.16295,"VisualClaw: A Real-Time, Personalized Agent for the Physical",https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-16/Set-Based%20Action%20Sequence%20Prediction%20for%20Multi-Modal%20Robot%20M.md
