arxiv_id,idea_title,idea_github_url
2606.02800,Cosmos 3: Omnimodal World Models for Physical AI,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Causal%20World%20Models%20from%20Sparse%20Observations%20via%20Action-Based%20Intervention%20Identification.md
2606.02800,Cosmos 3: Omnimodal World Models for Physical AI,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/AdaDiff%20%20Adaptive%20Token-level%20Denoising%20Budget%20for%20Real-Time%20Video-Action%20Diffusion%20Models.md
2606.05121,Audio Interaction Model,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Causal%20Cross-Audio%20Attention%20for%20Multi-Hop%20Reasoning.md
2606.02060,Where Do Deep-Research Agents Go Wrong? Span-Level Error Loc,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Causal%20Invariant%20Memory%20Transfer%20for%20Cross-Task%20Agent%20Generalization.md
2606.02060,Where Do Deep-Research Agents Go Wrong? Span-Level Error Loc,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Causal%20Retrieval%20Agent%20Memory%20%20Selecting%20Episodic%20Memories%20via%20Transfer%20Entropy%20for%20Improved%20General.md
2606.04923,"Reproducing, Analyzing, and Detecting Reward Hacking in Rubr",https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Causal%20Invariance%20Probe%20%20Detecting%20Reward%20Hacking%20via%20Causal%20Dependence%20on%20Reward%20Model%20Parameters.md
2606.04923,"Reproducing, Analyzing, and Detecting Reward Hacking in Rubr",https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Temporal%20Consistency%20Monitoring%20for%20Self-Supervised%20Detection%20of%20Reward%20Hacking.md
2606.03746,Qwen-Image-Flash: Beyond Objective Design,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/SpecDist%20%20Spectral%20Timestep%20Weighting%20for%20Architecture-Agnostic%20Text-to-Image%20Distillation.md
2606.03890,OVO-S-Bench: A Hierarchical Benchmark for Streaming Spatial ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/FaSTR-B%20%20A%20Factor%20Graph%20Benchmark%20for%20Spatial-Temporal%20Reasoning%20under%20Partial%20Observability.md
2606.05080,AutoLab: Can Frontier Models Solve Long-Horizon Auto Researc,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/CONCH%20%20Consistency-checked%20Benchmark%20Generation%20via%20Symbolic%20Verification.md
2606.05080,AutoLab: Can Frontier Models Solve Long-Horizon Auto Researc,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Adversarial%20Benchmark%20Synthesis%20%20Generating%20Valid%20Agent%20Benchmarks%20from%20Formal%20Domain%20Specifications.md
2606.05080,AutoLab: Can Frontier Models Solve Long-Horizon Auto Researc,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/AutoDoubt%20%20Self-Verifying%20Benchmark%20Integrity%20via%20Adversarial%20Perturbation%20Generation.md
2606.05158,Streaming Communication in Multi-Agent Reasoning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Incommensurability-Driven%20Concept%20Invention%20for%20Multi-Agent%20Reasoning.md
2606.05158,Streaming Communication in Multi-Agent Reasoning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/BARAS%20%20Decentralized%20Bottleneck%20Detection%20and%20Agent%20Specialization%20for%20Adaptive%20Multi-Agent%20Reasonin.md
2606.05158,Streaming Communication in Multi-Agent Reasoning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/DynaCoop%20%20Variational%20Topology%20Learning%20for%20Scalable%20Multi-Agent%20Reasoning.md
2606.04527,Echo-Infinity: Learning Evolving Memory for Real-Time Infini,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Continuous-Time%20Latent%20Chunk%20Generator%20for%20Adaptive%20Autoregressive%20Video%20Modeling.md
2606.04527,Echo-Infinity: Learning Evolving Memory for Real-Time Infini,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Temporal%20Cycle-Consistent%20Autoregressive%20Video%20Generation.md
2606.04527,Echo-Infinity: Learning Evolving Memory for Real-Time Infini,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-04/Confidence-Guided%20Diagonal%20Distillation%20for%20Adaptive%20Autoregressive%20Video%20Generation.md
