arxiv_id,idea_title,idea_github_url
2606.05405,Agents' Last Exam,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/CERT-Bench%20%20Certificate-Guaranteed%20Benchmark%20Generation%20via%20Trace-Embedded%20Proofs.md
2606.05405,Agents' Last Exam,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/ParetoBench%20%20Generating%20Agent%20Evaluation%20Benchmarks%20on%20the%20Multi-Property%20Pareto%20Frontier.md
2606.05405,Agents' Last Exam,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/ParaCoord%20%20Automatically%20Generating%20Multi-Agent%20Coordination%20Benchmarks%20via%20Parameterized%20Templates.md
2606.07297,SWE-Explore: Benchmarking How Coding Agents Explore Reposito,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/BayesEdge%20%20Adaptive%20Repository%20Graph%20Representation%20through%20Bayesian%20Inference%20from%20Query%20Outcomes.md
2606.07297,SWE-Explore: Benchmarking How Coding Agents Explore Reposito,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/BiGRA%20%20Bi-directional%20Graph-grounded%20Retrieval%20Attention%20for%20Robust%20Repository%20Grounding.md
2606.07297,SWE-Explore: Benchmarking How Coding Agents Explore Reposito,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/DIA%20%20Dependency-Incremental%20Anchoring%20for%20Lexical-Graph%20Updates%20in%20Evolving%20Repositories.md
2606.07082,On the Geometry of On-Policy Distillation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/Dynamical%20System%20Distillation%20%20Preserving%20In-Context%20Learning%20via%20Layer-Wise%20Linear%20Isomorphism%20Alig.md
2606.07082,On the Geometry of On-Policy Distillation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/NTK-DART%20%20Gradient-Free%20Data%20Selection%20and%20Generation%20for%20Knowledge%20Distillation%20via%20Random%20Feature.md
2606.07082,On the Geometry of On-Policy Distillation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/Consensus-Constrained%20Multi-Teacher%20Distillation%20%20CC-MTD%20%20%20Debiasing%20Teacher%20Outputs%20via%20Inlier%20Sele.md
2606.09828,Latent Spatial Memory for Video World Models,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/Depth-Ordered%20Latent%20Dynamics%20for%20Occlusion-Robust%20State%20Estimation%20in%20Video%20World%20Models.md
2606.09828,Latent Spatial Memory for Video World Models,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/OccLearn%20%20Learning%20Occlusion-Aware%20Layered%203D%20Representations%20from%20Unconstrained%20Video.md
2606.06087,LatentSkill: From In-Context Textual Skills to In-Weight Lat,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/DualCheck%20%20Autonomous%20Closed-Loop%20Learning%20for%20Operations%20Research%20Language%20Models%20via%20Primal-Dual%20C.md
2606.06087,LatentSkill: From In-Context Textual Skills to In-Weight Lat,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/C-DARG%20%20Self-Supervised%20Generation%20of%20Domain-Specific%20Resources%20via%20Cross-Task%20Consistency%20for%20Langu.md
2606.09079,FlashMemory-DeepSeek-V4: Lightning Index Ultra-Long Context ,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-09/RAKE%20%20A%20Reconfigurable%20Kernel%20Engine%20for%20Efficient%20Linear%20Attention%20Accelerators.md
